Sr. No.,Name of NPO,Registration No,Registration Type,Address,Primary Sectors,Operational District,Email,Website
1,A Hundred Hands,IN KA275887416941221,Trust,"4 Ashley Road Off MG Road Bangalore 560025 , bangalore, BENGALURU URBAN (Karnataka) - 560025","Art & Culture, Differently Abled, Rural Development & Poverty Alleviation, Tourism, Tribal Affairs",ALL,a100hands@gmail.com,http://www.ahundredhands.com/
2,A R N GROWTH CHARITABLE TRUST,KRI-4-00539-2025-26,Trust,"# 50/51 2nd Main Behind Maruthi Vidyalaya Balaji Layout Kalyan Nagar Post Bangalore 560043 , Bengaluru East, BENGALURU URBAN (Karnataka) - 560043","Art & Culture, Children, Differently Abled, Drinking Water, Aged/Elderly",BENGALURU URBAN,arngrowthcharitabletrust@gmail.com,
3,A2Z Foundation Trust,VJN-04-00382-2021-22,Trust,"No 30, 1st floor, 8th main, RPC layout , vijayanagar, bengaluru , Bengaluru North, BENGALURU URBAN (Karnataka) - 560040","Differently Abled, Education & Literacy, Environment & Forests, Food Processing, Micro Small & Medium Enterprises",BENGALURU URBAN,a2zfoundationtrust@gmail.com,
4,Aadhana education foundation,U88900KA2025NPL198836,Section 8 Company,"#569, 2nd Cross, 3rd Stage, 1st Block Basaveshwarnagar , Bengaluru North, BENGALURU URBAN (Karnataka) - 560079","Children, Differently Abled, Education & Literacy, Aged/Elderly, Health & Family Welfare",BENGALURU URBAN,Sowmyamurthy1988@gmail.com,https://ngodarpan.gov.in/Www.Thehope.life
5,AADHYA CHARITABLE FOUNDATION,156897,Section 8 Company,"K. NO. 515, HENUR VILLAGE BANGALORE Bangalore KA 560043 IN , BANGALORE, BENGALURU URBAN (Karnataka) - 560043","Children, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water",ALL,aadhyacharitablefoundation@gmail.com,http://aadhyacharitablefoundation.org/
6,AAFIEA CHARITABLE TRUST,BOOK-IV/325/2024-25,Trust,"No 434 MCECHS 1st phase 4th Cross 1st Main , Bangalore, BENGALURU URBAN (Karnataka) - 560077","Art & Culture, Differently Abled, Education & Literacy, Environment & Forests",ALL,muddassir59@gmail.com,
7,AAGAMI FOUNDATION,U88900KA2024NPL183216,Section 8 Company,"PLATINUM NO 47 , Bengaluru, BENGALURU URBAN (Karnataka) - 560022","Agriculture, Art & Culture, Civic Issues, Differently Abled, Disaster Management",ALL,suprithbasim@gmail.com,
8,AAHWAHAN FOUNDATION,BSG-4-00351/2016-17,Trust,"No.40, South End Main Road, Jayanagar 9th Block, Bangalore-560069 , BANGALORE, BENGALURU URBAN (Karnataka) - 560069","Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children, Civic Issues",ALL,info@aahwahan.com,
9,AAKRITII NGO,GAN-4-00052-2024-25,Trust,"31, 2nd Main Rd, Venkatagowda Layout, Hebbal Kempapura, Bengaluru, Karnataka 560024 , BENGALURU, BENGALURU URBAN (Karnataka) - 560024","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Children, Differently Abled",ALL,AAKRITIINGO@GMAIL.COM,
10,AAMANTRAN WELFARE ASSOCIATION TRUST,KRI-4-00244-2022-23,Trust,"Ground Floor, # 19, 4th A Cross, Lakshmipura Layout, Baavanapura Main Road, KR Puram, Bangaluru - 560036 , Bengaluru East, BENGALURU URBAN (Karnataka) - 560049","Children, Differently Abled, Education & Literacy, Aged/Elderly, Religious",BENGALURU URBAN,aamantran2022@gmail.com,https://ngodarpan.gov.in/www.aamantran.co.in
11,Aarambh Foundation,SHV-4-00646-2018-19 -SHVD334,Trust,"RF-503, Purva Riviera Marathahalli Bengaluru-560037 KARNATAKA, INDIA , bangalore, BENGALURU URBAN (Karnataka) - 560037","Children, Differently Abled, Skill Development",ALL,aarambhinclusion@gmail.com,https://aarambhfoundation.com/
12,AARNA AAYU FOUNDATION,BSK-04-504-2019-20,Trust,"no. 2, Muneshwaranagar, kerekodi main Road, Hosakerehalli, BSK 3rd Stage, Bangalore , Bengaluru South, BENGALURU URBAN (Karnataka) - 560085","Aged/Elderly, Health & Family Welfare",BENGALURU URBAN,aarnaaayufoundation@gmail.com,
13,Aarohana Foundation,DRB4/SOR/19/2025-2026,Society,"No. 122/16, Unit No. F-5, Monarch chambers, Infantry Road, Bengaluru , Bengaluru North, BENGALURU URBAN (Karnataka) - 560001","Children, Civic Issues, Differently Abled, Nutrition, Youth Affairs",BENGALURU URBAN,mohammedrayeed.3182@gmail.com,
14,AAROHITA LEARNING CENTER EDUCATIONAL TRUST,BNG-U-JNR-611-2025-26-IV,Trust,"No 460, 14th cross, 1st main Balaji Layout, Raghuvanahalli Kanakapura road, Bangalore-560061 , Bengaluru South, BENGALURU URBAN (Karnataka) - 560061",Differently Abled,BENGALURU URBAN,shankaragboss475@gmail.com,
15,AASARE FOUNDATION,BNG/BSK/19/2017/18,Trust,"# 3913 1st Floor 12th Main Road 16th Cross Kumaraswamy layout Bengaluru 560111 , Bengaluru South, BENGALURU URBAN (Karnataka) - 560111","Agriculture, Animal Husbandry, Dairying & Fisheries, Aged/Elderly, Animal Welfare",BENGALURU RURAL,7899799514sa@gmail.com,
16,AASHIKA SOCIAL SERVICE EDUCATIONAL TRUST,INR-4-00098-2020-21,Trust,"No 27th, 5th Cross, 2nd Main, Gowthamapuram, Halasuru, Bengaluru 560008 , Bengaluru, BENGALURU URBAN (Karnataka) - 560009","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,asset.ngo@yahoo.com,
